method,dim,n_seeds,b1_max,b1_min,b1_mean,b1_var,b1_gh_max,b1_gh_min,b1_gh_mean,b1_gh_var,max_cos_max,max_cos_min,max_cos_mean,max_cos_var,mean_cos_max,mean_cos_min,mean_cos_mean,mean_cos_var
LLL,70,9,4422.93319,3148.374501,3945.048807,197691.019483,2.067745,1.463916,1.838827,0.04404,0.718345,0.624153,0.659488,0.000842,0.186479,0.160151,0.173538,5.3e-05
LLL,71,9,4326.228034,3455.798895,3944.904734,93121.532487,2.007474,1.598149,1.827781,0.020279,0.658786,0.572299,0.617109,0.000824,0.178094,0.1622,0.171476,2.6e-05
LLL,72,9,4919.215791,3606.263717,4140.594649,174750.063156,2.272539,1.667093,1.907266,0.036529,0.743181,0.607242,0.665916,0.001838,0.183517,0.164718,0.173099,3.7e-05
LLL,73,9,4983.329409,3855.035408,4258.442601,130928.723052,2.274748,1.755231,1.944448,0.028263,0.71669,0.608685,0.660096,0.001253,0.182353,0.167763,0.173865,2e-05
LLL,74,9,4716.711142,3468.90069,4184.465835,126863.122271,2.148275,1.570353,1.902823,0.027076,0.693644,0.59246,0.645188,0.001305,0.176498,0.164887,0.171113,1.6e-05
LLL,75,9,4935.198172,3950.020633,4432.674225,90853.325022,2.236853,1.779374,1.997606,0.019146,0.704058,0.615774,0.652006,0.001077,0.1784,0.164945,0.169952,1.2e-05
LLL,76,9,4568.752237,3047.294702,4237.862899,191632.495697,2.043131,1.364486,1.897781,0.038579,0.731368,0.606923,0.661704,0.001146,0.179931,0.164951,0.171423,1.9e-05
LLL,77,9,5551.410361,3617.27812,4354.07592,287631.99113,2.468961,1.605789,1.936725,0.057398,0.724453,0.608639,0.664671,0.001601,0.181166,0.166802,0.170799,1.7e-05
LLL,78,9,5977.824604,4421.836044,4893.658808,216847.244636,2.637742,1.954815,2.166655,0.041244,0.713008,0.57455,0.653271,0.001659,0.182716,0.165108,0.17179,3.4e-05
LLL,79,9,5360.224809,4559.267156,4924.577327,68471.592721,2.369751,2.001892,2.165547,0.013692,0.70215,0.612223,0.663875,0.000894,0.180178,0.166837,0.172564,1.9e-05
LLL,80,9,5697.709979,4700.844499,5080.529989,77627.143866,2.492184,2.060209,2.222105,0.0144,0.721272,0.596187,0.663248,0.001566,0.178816,0.164735,0.173234,1.5e-05
LLL,81,9,6168.842679,4326.963254,4895.360397,372006.253928,2.682623,1.878469,2.130409,0.070557,0.716073,0.584462,0.654458,0.002228,0.180825,0.16348,0.171013,4.3e-05
LLL,82,9,5992.733099,5135.585848,5487.086195,75891.528659,2.599135,2.220226,2.375425,0.014731,0.724127,0.634493,0.675326,0.000703,0.179092,0.166589,0.173419,2e-05
LLL,83,9,5938.793817,3869.631507,5337.27461,390487.630872,2.544512,1.659137,2.294585,0.072502,0.700765,0.582746,0.66093,0.001105,0.180901,0.167181,0.172048,1.8e-05
LLL,84,9,6278.466214,4746.302456,5355.287518,269571.603021,2.683674,2.024571,2.287483,0.048735,0.728049,0.597816,0.656244,0.001743,0.183149,0.164338,0.172359,3.3e-05
LLL,85,9,6327.337987,4743.814499,5678.704473,230280.729739,2.681613,2.02441,2.411887,0.040533,0.724679,0.601249,0.663706,0.001045,0.180259,0.162066,0.174091,3e-05
LLL,86,9,7897.603814,4571.361285,5882.500142,836275.746028,3.339226,1.935348,2.485781,0.148849,0.696943,0.582044,0.658023,0.00106,0.187224,0.161138,0.173107,9e-05
LLL,87,9,7344.97066,4653.815746,5738.981151,779692.127457,3.086483,1.9607,2.413947,0.137328,0.749493,0.616714,0.669243,0.001616,0.186483,0.162331,0.173379,7e-05
LLL,88,9,6118.152009,4806.921156,5534.727526,165196.328068,2.55836,2.005342,2.31449,0.029534,0.702725,0.622454,0.661259,0.000651,0.177867,0.15951,0.168383,3e-05
LLL,89,9,6642.64902,5173.81629,5888.337509,183205.043753,2.753291,2.152376,2.448245,0.031009,0.737928,0.596738,0.665248,0.00169,0.181441,0.168337,0.174049,1.7e-05
LLL,90,9,6545.496467,4724.470976,5854.721255,258035.359645,2.699484,1.959855,2.422882,0.043527,0.717187,0.595849,0.653603,0.001686,0.182626,0.163134,0.172345,3.1e-05
LLL,91,9,7606.480395,5260.343715,6283.109043,657959.308856,3.140392,2.16065,2.583678,0.113119,0.742292,0.617082,0.680447,0.001738,0.178367,0.162407,0.169296,2.5e-05
LLL,92,9,6768.346475,5368.783382,6175.832185,218871.823578,2.768966,2.190934,2.52439,0.036951,0.68644,0.612256,0.658326,0.000425,0.17438,0.16541,0.170856,9e-06
LLL,93,9,7532.789523,5755.434128,6647.334715,255478.414605,3.061745,2.350539,2.707623,0.040858,0.696296,0.624701,0.663867,0.000616,0.183668,0.165617,0.171447,2.9e-05
LLL,94,9,7136.178459,5194.157776,6348.461527,284891.907037,2.891786,2.109439,2.571926,0.046205,0.722296,0.639821,0.666736,0.00068,0.178226,0.159673,0.171296,2.7e-05
LLL,95,9,8280.276867,5705.849718,6941.306367,588810.700264,3.350697,2.301947,2.80021,0.097619,0.71867,0.602534,0.650917,0.001134,0.174459,0.167041,0.171507,5e-06
LLL,96,9,9138.8647,5456.317256,6957.450503,1311458.827659,3.657531,2.189991,2.791059,0.208118,0.746101,0.61105,0.660912,0.001667,0.186695,0.161235,0.170384,5.3e-05
LLL,97,9,8594.373916,5771.758138,6930.464288,662625.980178,3.431352,2.299875,2.769842,0.106627,0.694712,0.609843,0.65488,0.000774,0.178779,0.161796,0.169371,2.8e-05
LLL,98,9,8354.386034,6880.915564,7449.219539,324020.14298,3.310464,2.72896,2.957826,0.050588,0.710281,0.591071,0.650268,0.001467,0.179859,0.165452,0.17121,2e-05
LLL,99,9,9525.808995,5682.735697,7251.912687,1003572.71824,3.755836,2.249434,2.862582,0.154542,0.705341,0.636235,0.651556,0.000479,0.177538,0.162184,0.168338,2.6e-05
LLL,100,9,8055.202108,6278.342297,7190.068686,439988.844058,3.163881,2.46446,2.827488,0.067783,0.732019,0.594623,0.654033,0.001696,0.173985,0.161578,0.166539,2.6e-05
LLL,101,9,9860.610934,5797.572337,7656.779488,1238068.309488,3.848859,2.274155,2.998514,0.186649,0.705392,0.594391,0.647921,0.001633,0.178525,0.152888,0.167109,6.4e-05
LLL,102,9,8436.632978,6174.000648,7598.640511,401634.273008,3.278591,2.411226,2.959647,0.059878,0.713695,0.605977,0.664617,0.000822,0.177222,0.158075,0.166555,2.5e-05
LLL,103,9,9510.242216,7315.200407,8161.409814,389897.292919,3.679324,2.838105,3.169773,0.057394,0.758037,0.639374,0.686197,0.001493,0.177965,0.164777,0.169076,1.4e-05
LLL,104,9,8587.895551,7468.409871,7983.73599,185898.203918,3.312863,2.887557,3.080937,0.026818,0.734067,0.597427,0.652411,0.001443,0.174028,0.159919,0.167111,2.1e-05
LLL,105,9,10015.168546,7169.662544,8837.400974,791184.470817,3.84096,2.75069,3.394971,0.114921,0.711623,0.650831,0.677364,0.00041,0.180134,0.163512,0.172689,2.6e-05
LLL,106,9,9515.272881,7212.430312,8306.918359,654197.041673,3.6447,2.757091,3.180642,0.097871,0.693611,0.603416,0.661414,0.000648,0.176619,0.154106,0.165895,3.6e-05
LLL,107,9,10359.207161,7117.502652,8554.41023,1363588.387706,3.93567,2.717556,3.257823,0.194789,0.734595,0.609694,0.65954,0.0013,0.174862,0.155492,0.165442,4.7e-05
LLL,108,9,10170.22512,7288.246428,8822.019209,819773.734199,3.847799,2.765936,3.343262,0.116452,0.689786,0.635827,0.662937,0.000282,0.17464,0.160413,0.167744,2.1e-05
LLL,109,9,11779.944737,8559.00777,9682.840883,1167670.433209,4.460928,3.221428,3.653387,0.169902,0.724113,0.611743,0.681513,0.001062,0.17982,0.160949,0.169001,4e-05
LLL,110,9,10126.746417,7783.704003,9196.279246,551232.913826,3.812874,2.921924,3.457092,0.079677,0.738034,0.633329,0.673691,0.000832,0.175853,0.16243,0.168259,2.1e-05
BKZ,70,9,3701.098215,3077.080109,3283.268483,29321.738296,1.723235,1.435216,1.530099,0.006401,0.628779,0.565949,0.595478,0.000606,0.163944,0.155395,0.160356,6e-06
BKZ,71,9,3693.347127,3073.242425,3280.618239,35075.080893,1.713355,1.421572,1.519997,0.007747,0.639436,0.565249,0.604023,0.000597,0.165646,0.157655,0.161543,8e-06
BKZ,72,9,3644.150656,3322.469262,3511.321602,13448.493568,1.675137,1.53393,1.617433,0.002492,0.659882,0.557109,0.615542,0.000965,0.164896,0.155711,0.161124,7e-06
BKZ,73,9,3583.93443,3322.196713,3427.614538,6757.692568,1.642018,1.512625,1.564914,0.001523,0.667724,0.569877,0.608714,0.000778,0.163806,0.158873,0.16137,3e-06
BKZ,74,9,3825.101959,3320.646323,3524.885544,17766.126631,1.737372,1.504505,1.602704,0.003732,0.699375,0.557271,0.621821,0.001771,0.166236,0.151104,0.161757,1.9e-05
BKZ,75,9,3891.726866,3121.86739,3558.937638,42970.558268,1.760478,1.404275,1.603789,0.008943,0.646973,0.559205,0.600875,0.000803,0.164073,0.156581,0.160167,6e-06
BKZ,76,9,3890.694925,3047.294702,3545.598844,68116.060854,1.740888,1.364486,1.587752,0.013689,0.660147,0.579434,0.615352,0.000732,0.170028,0.151455,0.158852,2.3e-05
BKZ,77,9,4016.228953,3422.749041,3763.411674,30990.130106,1.788058,1.519433,1.674001,0.006577,0.653667,0.569451,0.615521,0.00071,0.163969,0.154961,0.1585,8e-06
BKZ,78,9,4037.603497,3676.15288,3862.498751,14099.173529,1.78933,1.625162,1.71027,0.002622,0.713164,0.583283,0.643038,0.001274,0.164086,0.155648,0.160138,6e-06
BKZ,79,9,4219.301127,3617.989497,3995.652695,30140.543339,1.860555,1.590449,1.757038,0.006032,0.668547,0.580814,0.614136,0.000863,0.16604,0.155156,0.160192,1.2e-05
BKZ,80,9,4467.279485,3450.030725,3997.996002,83917.63202,1.948623,1.505869,1.748752,0.016138,0.659008,0.576412,0.609257,0.000687,0.16625,0.152857,0.16083,2e-05
BKZ,81,9,4272.698445,3566.197134,4062.609946,34754.53593,1.854911,1.547375,1.768067,0.006807,0.666278,0.566568,0.616706,0.000878,0.163097,0.155824,0.159562,5e-06
BKZ,82,9,4680.668115,3929.904833,4284.043389,46057.682155,2.030073,1.701741,1.854525,0.008618,0.68331,0.595353,0.63483,0.000982,0.164919,0.157633,0.160718,5e-06
BKZ,83,9,4483.950379,3869.631507,4267.25924,34519.024368,1.931158,1.659137,1.834583,0.006784,0.666746,0.567057,0.613699,0.001124,0.166063,0.15579,0.160239,1.2e-05
BKZ,84,9,4826.778325,3992.413305,4430.504328,68621.732721,2.057661,1.709434,1.892432,0.012081,0.656186,0.578446,0.617636,0.000648,0.165051,0.154044,0.160192,1e-05
BKZ,85,9,4920.674344,4152.504907,4523.192604,59557.777001,2.086908,1.765953,1.921167,0.010247,0.704932,0.583329,0.625311,0.001273,0.168732,0.155565,0.161345,2.3e-05
BKZ,86,9,4855.792623,4109.816541,4542.655368,66229.09447,2.049307,1.736278,1.919738,0.01196,0.690894,0.585681,0.632497,0.000769,0.161112,0.153249,0.157901,7e-06
BKZ,87,9,5003.787166,4402.028964,4681.110594,36414.939871,2.106075,1.85462,1.969006,0.006126,0.66125,0.583429,0.619886,0.000893,0.161769,0.157261,0.159548,3e-06
