dim,seed,method,pipeline,norm,gh,norm_over_gh,log_det,file,status,error
50,3203,lll,LLL,1908.8213640883205,1833.2782487990762,1.0412065737095448,346.3076937228277,svp_dim50_seed3203.txt,ok,
50,3203,bkz20,20,1908.8213640883205,1833.2782487990762,1.0412065737095448,346.3076937228277,svp_dim50_seed3203.txt,ok,
50,3203,bkz20_30,20+30,1908.8213640883205,1833.2782487990762,1.0412065737095448,346.3076937228277,svp_dim50_seed3203.txt,ok,
50,3203,bkz20_30_40,20+30+40,1908.8213640883205,1833.2782487990762,1.0412065737095448,346.3076937228277,svp_dim50_seed3203.txt,ok,
50,2,lll,LLL,2335.1610222851873,1842.2854267607802,1.2675348718309145,346.55274990432486,svp_dim50_seed2.txt,ok,
50,2,bkz20,20,2335.1610222851873,1842.2854267607802,1.2675348718309145,346.55274990432486,svp_dim50_seed2.txt,ok,
50,2,bkz20_30,20+30,2319.820036123491,1842.2854267607802,1.259207722335589,346.55274990432486,svp_dim50_seed2.txt,ok,
50,2,bkz20_30_40,20+30+40,2319.820036123491,1842.2854267607802,1.259207722335589,346.55274990432486,svp_dim50_seed2.txt,ok,
50,3,lll,LLL,2046.1363590924232,1826.0373532398492,1.120533682107906,346.1098177865259,svp_dim50_seed3.txt,ok,
50,3,bkz20,20,2046.1363590924232,1826.0373532398492,1.120533682107906,346.1098177865259,svp_dim50_seed3.txt,ok,
50,3,bkz20_30,20+30,2046.1363590924232,1826.0373532398492,1.120533682107906,346.1098177865259,svp_dim50_seed3.txt,ok,
50,3,bkz20_30_40,20+30+40,2046.1363590924232,1826.0373532398492,1.120533682107906,346.1098177865259,svp_dim50_seed3.txt,ok,
50,38,lll,LLL,1990.4308578797697,1823.3272175350082,1.0916476421443828,346.0355545510914,svp_dim50_seed38.txt,ok,
50,38,bkz20,20,1990.4308578797697,1823.3272175350082,1.0916476421443828,346.0355545510914,svp_dim50_seed38.txt,ok,
50,38,bkz20_30,20+30,1990.4308578797697,1823.3272175350082,1.0916476421443828,346.0355545510914,svp_dim50_seed38.txt,ok,
50,38,bkz20_30_40,20+30+40,1990.4308578797697,1823.3272175350082,1.0916476421443828,346.0355545510914,svp_dim50_seed38.txt,ok,
51,0,lll,LLL,2097.313996520311,1858.3984950397983,1.128559887515081,353.4637549469596,svp_dim51_seed0.txt,ok,
51,0,bkz20,20,2097.313996520311,1858.3984950397983,1.128559887515081,353.4637549469596,svp_dim51_seed0.txt,ok,
51,0,bkz20_30,20+30,2097.313996520311,1858.3984950397983,1.128559887515081,353.4637549469596,svp_dim51_seed0.txt,ok,
51,0,bkz20_30_40,20+30+40,2097.313996520311,1858.3984950397983,1.128559887515081,353.4637549469596,svp_dim51_seed0.txt,ok,
50,6,lll,LLL,2359.999788135583,1827.611877653764,1.291302500816138,346.15291235888037,svp_dim50_seed6.txt,ok,
50,6,bkz20,20,2359.999788135583,1827.611877653764,1.291302500816138,346.15291235888037,svp_dim50_seed6.txt,ok,
50,6,bkz20_30,20+30,2359.999788135583,1827.611877653764,1.291302500816138,346.15291235888037,svp_dim50_seed6.txt,ok,
50,6,bkz20_30_40,20+30+40,2359.999788135583,1827.611877653764,1.291302500816138,346.15291235888037,svp_dim50_seed6.txt,ok,
50,5,lll,LLL,2416.9954488993158,1840.2491141171186,1.3134066634553976,346.4974534005554,svp_dim50_seed5.txt,ok,
50,5,bkz20,20,2416.9954488993158,1840.2491141171186,1.3134066634553976,346.4974534005554,svp_dim50_seed5.txt,ok,
50,5,bkz20_30,20+30,2416.9954488993158,1840.2491141171186,1.3134066634553976,346.4974534005554,svp_dim50_seed5.txt,ok,
50,5,bkz20_30_40,20+30+40,2416.9954488993158,1840.2491141171186,1.3134066634553976,346.4974534005554,svp_dim50_seed5.txt,ok,
50,1,lll,LLL,2156.6993299947953,1825.9328857535243,1.1811492891233901,346.10695720772827,svp_dim50_seed1.txt,ok,
50,1,bkz20,20,2156.6993299947953,1825.9328857535243,1.1811492891233901,346.10695720772827,svp_dim50_seed1.txt,ok,
50,1,bkz20_30,20+30,2156.6993299947953,1825.9328857535243,1.1811492891233901,346.10695720772827,svp_dim50_seed1.txt,ok,
50,1,bkz20_30_40,20+30+40,2156.6993299947953,1825.9328857535243,1.1811492891233901,346.10695720772827,svp_dim50_seed1.txt,ok,
51,2,lll,LLL,2248.9466423194644,1843.6462616972246,1.2198363043077083,353.05729423008944,svp_dim51_seed2.txt,ok,
51,2,bkz20,20,2248.9466423194644,1843.6462616972246,1.2198363043077083,353.05729423008944,svp_dim51_seed2.txt,ok,
51,2,bkz20_30,20+30,2248.9466423194644,1843.6462616972246,1.2198363043077083,353.05729423008944,svp_dim51_seed2.txt,ok,
51,2,bkz20_30_40,20+30+40,2248.9466423194644,1843.6462616972246,1.2198363043077083,353.05729423008944,svp_dim51_seed2.txt,ok,
51,99,lll,LLL,2285.8751059495794,1845.0328847749006,1.238934614560251,353.0956373754184,svp_dim51_seed99.txt,ok,
51,99,bkz20,20,2285.8751059495794,1845.0328847749006,1.238934614560251,353.0956373754184,svp_dim51_seed99.txt,ok,
51,99,bkz20_30,20+30,2136.351328784663,1845.0328847749006,1.1578933613670004,353.0956373754184,svp_dim51_seed99.txt,ok,
51,99,bkz20_30_40,20+30+40,2136.351328784663,1845.0328847749006,1.1578933613670004,353.0956373754184,svp_dim51_seed99.txt,ok,
50,0,lll,LLL,2154.754742424296,1834.1896566366186,1.174772049677514,346.3325448702625,svp_dim50_seed0.txt,ok,
50,0,bkz20,20,2154.754742424296,1834.1896566366186,1.174772049677514,346.3325448702625,svp_dim50_seed0.txt,ok,
50,0,bkz20_30,20+30,2154.754742424296,1834.1896566366186,1.174772049677514,346.3325448702625,svp_dim50_seed0.txt,ok,
50,0,bkz20_30_40,20+30+40,2154.754742424296,1834.1896566366186,1.174772049677514,346.3325448702625,svp_dim50_seed0.txt,ok,
